Modelo;(*) Índice de Roubos/Furtos (%);Veículos Expostos;N° de Sinistros
TOYOTA CAMRY;1,195;167,41;2
TOYOTA COROLLA;2,282;21.210,27;484
TOYOTA CORONA;0;4,34;0
TOYOTA ETIOS;7,324;13.789,82;1.010,00
TOYOTA HILUX;4,177;3.758,91;157
TOYOTA LAND CRUISER;1,771;56,46;1
TOYOTA PRIOS;5,413;240,15;13
TOYOTA RAV4;7,041;1.008,36;71
TOYOTA YARIS;2,25;3.511,85;79
TRAXX MOTOS ATE 450CC;5,666;35,3;2
TRIUMPH MOTOS ACIMA DE 450CC;6,191;1.954,51;121
TROLLER PANTANAL;0;0,86;0
TROLLER RF ESPORT;0;1,79;0
TROLLER T4;6,14;342,02;21
VOLKSWAGEN CAMINHOES - TODOS;7,047;6.797,16;479
VOLVO - OUTROS;1,514;924,85;14
VOLVO 850;73,887;1,35;1
VOLVO CAMINHOES - TODOS;3,543;1.524,19;54
VOLVO S40;0;2,66;0
VOLVO S60;5,77;69,32;4
VOLVO S70;0;0,36;0
VOLVO S80;0;1,43;0
VOLVO V40;8,469;153,51;13
VOLVO V60;0;25,29;0
VOLVO V70;0;2,12;0
VOLVO XC60;9,066;683,86;62
VOLVO XC90;1,892;105,69;2
VW VOLKSWAGEN - AMAROK;3,337;1.528,53;51
VW VOLKSWAGEN - JETTA;3,67;4.795,52;176
VW VOLKSWAGEN - OUTROS;2,836;211,57;6
VW VOLKSWAGEN - UP;7,852;7.615,81;598
VW VOLKSWAGEN - VIRTUS;3,441;3.022,18;104
VW VOLKSWAGEN APOLO;0;2,79;0
VW VOLKSWAGEN BORA;3,173;189,12;6
VW VOLKSWAGEN CROSSFOX;3,078;2.144,34;66
VW VOLKSWAGEN FOX 1.0;4,2;13.405,97;563
VW VOLKSWAGEN FOX ACIMA DE 1.0;6,079;17.978,47;1.093,00
VW VOLKSWAGEN FUSCA;6,676;209,69;14
VW VOLKSWAGEN GOL 1.0;4,613;11.424,08;527
VW VOLKSWAGEN GOL ACIMA DE 1.0;4,585;5.409,09;248
VW VOLKSWAGEN GOLF;3,843;2.706,42;104
VW VOLKSWAGEN KOMBI;12,414;1.997,71;248
VW VOLKSWAGEN LOGUS;4,842;20,65;1
VW VOLKSWAGEN NEW BEETLE;7,207;235,88;17
VW VOLKSWAGEN PARATI 1.0;1,758;56,88;1
VW VOLKSWAGEN PARATI ACIMA DE 1.0;0,487;615,72;3
VW VOLKSWAGEN PASSAT;7,739;594,4;46
VW VOLKSWAGEN POINTER;18,661;5,36;1
VW VOLKSWAGEN POLO;3,59;10.836,65;389
VW VOLKSWAGEN QUANTUM;1,083;92,34;1
VW VOLKSWAGEN SANTANA;3,572;363,98;13
VW VOLKSWAGEN SAVEIRO;6,038;5.449,02;329
VW VOLKSWAGEN SPACEFOX;5,722;4.089,67;234
VW VOLKSWAGEN TIGUAN;3,96;2.550,81;101
VW VOLKSWAGEN TOUAREG;3,786;79,24;3
VW VOLKSWAGEN VOYAGE;5,933;6.977,93;414
WALK BUGGY;0;0,51;0
WALKBUS;0;1,01;0
WUYANG;0;0,87;0
YAMAHA MOTOS ACIMA DE 450CC;5,468;1.316,63;72
YAMAHA MOTOS ATE 450CC;4,781;16.565,52;792
